 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
60.0 	 0.0 	 -300.0     	   -300.0     	    -150.5619
60.0 	 10.0 	 -300.0     	   -300.0     	    -150.562
60.0 	 20.0 	 -300.0     	   -300.0     	    -150.5621
60.0 	 30.0 	 -300.0     	   -300.0     	    -150.5621
60.0 	 40.0 	 -300.0     	   -300.0     	    -150.5622
60.0 	 50.0 	 -300.0     	   -300.0     	    -150.5622
60.0 	 60.0 	 -300.0     	   -300.0     	    -150.5622
60.0 	 70.0 	 -300.0     	   -300.0     	    -150.5623
60.0 	 80.0 	 -300.0     	   -300.0     	    -150.5623
60.0 	 90.0 	 -300.0     	   -300.0     	    -150.5623
60.0 	 100.0 	 -300.0     	   -300.0     	    -150.5622
60.0 	 110.0 	 -300.0     	   -300.0     	    -150.5622
60.0 	 120.0 	 -300.0     	   -300.0     	    -150.5622
60.0 	 130.0 	 -300.0     	   -300.0     	    -150.5621
60.0 	 140.0 	 -300.0     	   -300.0     	    -150.5621
60.0 	 150.0 	 -300.0     	   -300.0     	    -150.562
60.0 	 160.0 	 -300.0     	   -300.0     	    -150.562
60.0 	 170.0 	 -300.0     	   -300.0     	    -150.5619
60.0 	 180.0 	 -300.0     	   -300.0     	    -150.5618
60.0 	 190.0 	 -300.0     	   -300.0     	    -150.5618
60.0 	 200.0 	 -300.0     	   -300.0     	    -150.5617
60.0 	 210.0 	 -300.0     	   -300.0     	    -150.5616
60.0 	 220.0 	 -300.0     	   -300.0     	    -150.5616
60.0 	 230.0 	 -300.0     	   -300.0     	    -150.5615
60.0 	 240.0 	 -300.0     	   -300.0     	    -150.5615
60.0 	 250.0 	 -300.0     	   -300.0     	    -150.5615
60.0 	 260.0 	 -300.0     	   -300.0     	    -150.5615
60.0 	 270.0 	 -300.0     	   -300.0     	    -150.5615
60.0 	 280.0 	 -300.0     	   -300.0     	    -150.5615
60.0 	 290.0 	 -300.0     	   -300.0     	    -150.5615
60.0 	 300.0 	 -300.0     	   -300.0     	    -150.5616
60.0 	 310.0 	 -300.0     	   -300.0     	    -150.5616
60.0 	 320.0 	 -300.0     	   -300.0     	    -150.5617
60.0 	 330.0 	 -300.0     	   -300.0     	    -150.5617
60.0 	 340.0 	 -300.0     	   -300.0     	    -150.5618
60.0 	 350.0 	 -300.0     	   -300.0     	    -150.5619
60.0 	 360.0 	 -300.0     	   -300.0     	    -150.5619
70.0 	 0.0 	 -300.0     	   -300.0     	    -150.5618
70.0 	 10.0 	 -300.0     	   -300.0     	    -150.5618
70.0 	 20.0 	 -300.0     	   -300.0     	    -150.5619
70.0 	 30.0 	 -300.0     	   -300.0     	    -150.562
70.0 	 40.0 	 -300.0     	   -300.0     	    -150.562
70.0 	 50.0 	 -300.0     	   -300.0     	    -150.562
70.0 	 60.0 	 -300.0     	   -300.0     	    -150.5621
70.0 	 70.0 	 -300.0     	   -300.0     	    -150.5621
70.0 	 80.0 	 -300.0     	   -300.0     	    -150.5621
70.0 	 90.0 	 -300.0     	   -300.0     	    -150.5621
70.0 	 100.0 	 -300.0     	   -300.0     	    -150.5621
70.0 	 110.0 	 -300.0     	   -300.0     	    -150.5621
70.0 	 120.0 	 -300.0     	   -300.0     	    -150.562
70.0 	 130.0 	 -300.0     	   -300.0     	    -150.562
70.0 	 140.0 	 -300.0     	   -300.0     	    -150.5619
70.0 	 150.0 	 -300.0     	   -300.0     	    -150.5619
70.0 	 160.0 	 -300.0     	   -300.0     	    -150.5618
70.0 	 170.0 	 -300.0     	   -300.0     	    -150.5618
70.0 	 180.0 	 -300.0     	   -300.0     	    -150.5617
70.0 	 190.0 	 -300.0     	   -300.0     	    -150.5616
70.0 	 200.0 	 -300.0     	   -300.0     	    -150.5616
70.0 	 210.0 	 -300.0     	   -300.0     	    -150.5615
70.0 	 220.0 	 -300.0     	   -300.0     	    -150.5615
70.0 	 230.0 	 -300.0     	   -300.0     	    -150.5614
70.0 	 240.0 	 -300.0     	   -300.0     	    -150.5614
70.0 	 250.0 	 -300.0     	   -300.0     	    -150.5614
70.0 	 260.0 	 -300.0     	   -300.0     	    -150.5614
70.0 	 270.0 	 -300.0     	   -300.0     	    -150.5614
70.0 	 280.0 	 -300.0     	   -300.0     	    -150.5614
70.0 	 290.0 	 -300.0     	   -300.0     	    -150.5614
70.0 	 300.0 	 -300.0     	   -300.0     	    -150.5615
70.0 	 310.0 	 -300.0     	   -300.0     	    -150.5615
70.0 	 320.0 	 -300.0     	   -300.0     	    -150.5615
70.0 	 330.0 	 -300.0     	   -300.0     	    -150.5616
70.0 	 340.0 	 -300.0     	   -300.0     	    -150.5617
70.0 	 350.0 	 -300.0     	   -300.0     	    -150.5617
70.0 	 360.0 	 -300.0     	   -300.0     	    -150.5618
80.0 	 0.0 	 -300.0     	   -300.0     	    -150.5617
80.0 	 10.0 	 -300.0     	   -300.0     	    -150.5617
80.0 	 20.0 	 -300.0     	   -300.0     	    -150.5618
80.0 	 30.0 	 -300.0     	   -300.0     	    -150.5618
80.0 	 40.0 	 -300.0     	   -300.0     	    -150.5619
80.0 	 50.0 	 -300.0     	   -300.0     	    -150.5619
80.0 	 60.0 	 -300.0     	   -300.0     	    -150.5619
80.0 	 70.0 	 -300.0     	   -300.0     	    -150.562
80.0 	 80.0 	 -300.0     	   -300.0     	    -150.562
80.0 	 90.0 	 -300.0     	   -300.0     	    -150.562
80.0 	 100.0 	 -300.0     	   -300.0     	    -150.562
80.0 	 110.0 	 -300.0     	   -300.0     	    -150.5619
80.0 	 120.0 	 -300.0     	   -300.0     	    -150.5619
80.0 	 130.0 	 -300.0     	   -300.0     	    -150.5619
80.0 	 140.0 	 -300.0     	   -300.0     	    -150.5618
80.0 	 150.0 	 -300.0     	   -300.0     	    -150.5618
80.0 	 160.0 	 -300.0     	   -300.0     	    -150.5617
80.0 	 170.0 	 -300.0     	   -300.0     	    -150.5617
80.0 	 180.0 	 -300.0     	   -300.0     	    -150.5616
80.0 	 190.0 	 -300.0     	   -300.0     	    -150.5615
80.0 	 200.0 	 -300.0     	   -300.0     	    -150.5615
80.0 	 210.0 	 -300.0     	   -300.0     	    -150.5614
80.0 	 220.0 	 -300.0     	   -300.0     	    -150.5614
80.0 	 230.0 	 -300.0     	   -300.0     	    -150.5613
80.0 	 240.0 	 -300.0     	   -300.0     	    -150.5613
80.0 	 250.0 	 -300.0     	   -300.0     	    -150.5613
80.0 	 260.0 	 -300.0     	   -300.0     	    -150.5613
80.0 	 270.0 	 -300.0     	   -300.0     	    -150.5613
80.0 	 280.0 	 -300.0     	   -300.0     	    -150.5613
80.0 	 290.0 	 -300.0     	   -300.0     	    -150.5613
80.0 	 300.0 	 -300.0     	   -300.0     	    -150.5613
80.0 	 310.0 	 -300.0     	   -300.0     	    -150.5614
80.0 	 320.0 	 -300.0     	   -300.0     	    -150.5614
80.0 	 330.0 	 -300.0     	   -300.0     	    -150.5615
80.0 	 340.0 	 -300.0     	   -300.0     	    -150.5615
80.0 	 350.0 	 -300.0     	   -300.0     	    -150.5616
80.0 	 360.0 	 -300.0     	   -300.0     	    -150.5617
90.0 	 0.0 	 -300.0     	   -300.0     	    -150.5615
90.0 	 10.0 	 -300.0     	   -300.0     	    -150.5616
90.0 	 20.0 	 -300.0     	   -300.0     	    -150.5617
90.0 	 30.0 	 -300.0     	   -300.0     	    -150.5617
90.0 	 40.0 	 -300.0     	   -300.0     	    -150.5618
90.0 	 50.0 	 -300.0     	   -300.0     	    -150.5618
90.0 	 60.0 	 -300.0     	   -300.0     	    -150.5618
90.0 	 70.0 	 -300.0     	   -300.0     	    -150.5618
90.0 	 80.0 	 -300.0     	   -300.0     	    -150.5619
90.0 	 90.0 	 -300.0     	   -300.0     	    -150.5619
90.0 	 100.0 	 -300.0     	   -300.0     	    -150.5618
90.0 	 110.0 	 -300.0     	   -300.0     	    -150.5618
90.0 	 120.0 	 -300.0     	   -300.0     	    -150.5618
90.0 	 130.0 	 -300.0     	   -300.0     	    -150.5618
90.0 	 140.0 	 -300.0     	   -300.0     	    -150.5617
90.0 	 150.0 	 -300.0     	   -300.0     	    -150.5617
90.0 	 160.0 	 -300.0     	   -300.0     	    -150.5616
90.0 	 170.0 	 -300.0     	   -300.0     	    -150.5615
90.0 	 180.0 	 -300.0     	   -300.0     	    -150.5615
90.0 	 190.0 	 -300.0     	   -300.0     	    -150.5614
90.0 	 200.0 	 -300.0     	   -300.0     	    -150.5614
90.0 	 210.0 	 -300.0     	   -300.0     	    -150.5613
90.0 	 220.0 	 -300.0     	   -300.0     	    -150.5613
90.0 	 230.0 	 -300.0     	   -300.0     	    -150.5612
90.0 	 240.0 	 -300.0     	   -300.0     	    -150.5612
90.0 	 250.0 	 -300.0     	   -300.0     	    -150.5612
90.0 	 260.0 	 -300.0     	   -300.0     	    -150.5612
90.0 	 270.0 	 -300.0     	   -300.0     	    -150.5612
90.0 	 280.0 	 -300.0     	   -300.0     	    -150.5612
90.0 	 290.0 	 -300.0     	   -300.0     	    -150.5612
90.0 	 300.0 	 -300.0     	   -300.0     	    -150.5612
90.0 	 310.0 	 -300.0     	   -300.0     	    -150.5613
90.0 	 320.0 	 -300.0     	   -300.0     	    -150.5613
90.0 	 330.0 	 -300.0     	   -300.0     	    -150.5614
90.0 	 340.0 	 -300.0     	   -300.0     	    -150.5614
90.0 	 350.0 	 -300.0     	   -300.0     	    -150.5615
90.0 	 360.0 	 -300.0     	   -300.0     	    -150.5615
100.0 	 0.0 	 -300.0     	   -300.0     	    -150.5615
100.0 	 10.0 	 -300.0     	   -300.0     	    -150.5615
100.0 	 20.0 	 -300.0     	   -300.0     	    -150.5616
100.0 	 30.0 	 -300.0     	   -300.0     	    -150.5617
100.0 	 40.0 	 -300.0     	   -300.0     	    -150.5617
100.0 	 50.0 	 -300.0     	   -300.0     	    -150.5617
100.0 	 60.0 	 -300.0     	   -300.0     	    -150.5618
100.0 	 70.0 	 -300.0     	   -300.0     	    -150.5618
100.0 	 80.0 	 -300.0     	   -300.0     	    -150.5618
100.0 	 90.0 	 -300.0     	   -300.0     	    -150.5618
100.0 	 100.0 	 -300.0     	   -300.0     	    -150.5618
100.0 	 110.0 	 -300.0     	   -300.0     	    -150.5618
100.0 	 120.0 	 -300.0     	   -300.0     	    -150.5617
100.0 	 130.0 	 -300.0     	   -300.0     	    -150.5617
100.0 	 140.0 	 -300.0     	   -300.0     	    -150.5617
100.0 	 150.0 	 -300.0     	   -300.0     	    -150.5616
100.0 	 160.0 	 -300.0     	   -300.0     	    -150.5615
100.0 	 170.0 	 -300.0     	   -300.0     	    -150.5615
100.0 	 180.0 	 -300.0     	   -300.0     	    -150.5614
100.0 	 190.0 	 -300.0     	   -300.0     	    -150.5614
100.0 	 200.0 	 -300.0     	   -300.0     	    -150.5613
100.0 	 210.0 	 -300.0     	   -300.0     	    -150.5613
100.0 	 220.0 	 -300.0     	   -300.0     	    -150.5612
100.0 	 230.0 	 -300.0     	   -300.0     	    -150.5612
100.0 	 240.0 	 -300.0     	   -300.0     	    -150.5611
100.0 	 250.0 	 -300.0     	   -300.0     	    -150.5611
100.0 	 260.0 	 -300.0     	   -300.0     	    -150.5611
100.0 	 270.0 	 -300.0     	   -300.0     	    -150.5611
100.0 	 280.0 	 -300.0     	   -300.0     	    -150.5611
100.0 	 290.0 	 -300.0     	   -300.0     	    -150.5611
100.0 	 300.0 	 -300.0     	   -300.0     	    -150.5612
100.0 	 310.0 	 -300.0     	   -300.0     	    -150.5612
100.0 	 320.0 	 -300.0     	   -300.0     	    -150.5613
100.0 	 330.0 	 -300.0     	   -300.0     	    -150.5613
100.0 	 340.0 	 -300.0     	   -300.0     	    -150.5614
100.0 	 350.0 	 -300.0     	   -300.0     	    -150.5614
100.0 	 360.0 	 -300.0     	   -300.0     	    -150.5615
110.0 	 0.0 	 -300.0     	   -300.0     	    -150.5614
110.0 	 10.0 	 -300.0     	   -300.0     	    -150.5615
110.0 	 20.0 	 -300.0     	   -300.0     	    -150.5616
110.0 	 30.0 	 -300.0     	   -300.0     	    -150.5616
110.0 	 40.0 	 -300.0     	   -300.0     	    -150.5617
